# PcbXY Version 1.0
# Date: Mon 28 Sep 2020 02:36:50 AM GMT UTC
# Author: commonadmin
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in in.  rotation in degrees.
# --------------------------------------------
DUP3,"eth_571-1734795-1","-",5.06,3.52,270,top
DUP1,"eth_571-1734795-1","-",5.06,4.82,270,top
DUP2,"eth_571-1734795-1","-",5.06,4.17,270,top
GEN2,"eth_571-1734795-1","-",4.54,3.52,90,top
GEN1,"eth_571-1734795-1","-",4.54,4.82,90,top
STEP,"eth_571-1734795-1","-",4.54,4.17,90,top
WTB1,"wireToBoard.fp","-",7.90,6.02,270,top
WTB2,"wireToBoard.fp","-",7.90,5.87,270,top
WTB3,"wireToBoard.fp","-",7.90,5.71,270,top
WTB4,"wireToBoard.fp","-",7.90,5.55,270,top
WTB25,"wireToBoard.fp","-",7.90,2.25,270,top
WTB16,"wireToBoard.fp","-",7.90,3.66,270,top
WTB17,"wireToBoard.fp","-",7.90,3.50,270,top
WTB18,"wireToBoard.fp","-",7.90,3.35,270,top
WTB9,"wireToBoard.fp","-",7.90,4.76,270,top
WTB10,"wireToBoard.fp","-",7.90,4.61,270,top
WTB11,"wireToBoard.fp","-",7.90,4.45,270,top
WTB12,"wireToBoard.fp","-",7.90,4.29,270,top
WTB13,"wireToBoard.fp","-",7.90,4.13,270,top
WTB14,"wireToBoard.fp","-",7.90,3.98,270,top
WTB19,"wireToBoard.fp","-",7.90,3.19,270,top
WTB20,"wireToBoard.fp","-",7.90,3.03,270,top
WTB21,"wireToBoard.fp","-",7.90,2.88,270,top
WTB22,"wireToBoard.fp","-",7.90,2.72,270,top
WTB23,"wireToBoard.fp","-",7.90,2.56,270,top
WTB24,"wireToBoard.fp","-",7.90,2.40,270,top
WTB15,"wireToBoard.fp","-",7.90,3.82,270,top
WTB8,"wireToBoard.fp","-",7.90,4.92,270,top
WTB7,"wireToBoard.fp","-",7.90,5.08,270,top
WTB6,"wireToBoard.fp","-",7.90,5.24,270,top
WTB5,"wireToBoard.fp","-",7.90,5.39,270,top
Vheat1,"XT60","60A",4.48,5.32,0,top
RING4,"ring","2mm",5.24,5.85,90,top
H16,"mount_m2","2mm",4.88,5.22,0,top
H15,"mount_m2","2mm",4.88,5.38,0,top
H13,"mount_m2","2mm",5.59,5.38,0,top
H14,"mount_m2","2mm",5.59,5.22,0,top
