#refdes,footprint,value,description,cost,device,mfr,mfrpn,dst,dstpn,link,link_page,supplier,sbapn,kitting,kitting_d,Xpos,Ypos,rot,side
DUP3,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,5.06,3.52,270,top
DUP1,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,5.06,4.82,270,top
DUP2,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,5.06,4.17,270,top
GEN2,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,4.54,3.52,90,top
GEN1,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,4.54,4.82,90,top
STEP,"eth_571-1734795-1","-",$0.95 MOUSER 571-1734795-1,0.95,CONNECTOR_13,TE Connectivity,1734795-1,Mouser,571-1734795-1,www.mouser.com/ds/2/418/NG_CD_1734795_E_C_1734795_E-658761.pdf,1,c,,other,not known to be available in machine usable format,4.54,4.17,90,top
WTB1,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,6.02,270,top
WTB2,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,5.87,270,top
WTB3,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,5.71,270,top
WTB4,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,5.55,270,top
WTB25,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,2.25,270,top
WTB16,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.66,270,top
WTB17,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.50,270,top
WTB18,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.35,270,top
WTB9,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,4.76,270,top
WTB10,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,4.61,270,top
WTB11,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,4.45,270,top
WTB12,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,4.29,270,top
WTB13,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,4.13,270,top
WTB14,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.98,270,top
WTB19,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.19,270,top
WTB20,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.03,270,top
WTB21,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,2.88,270,top
WTB22,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,2.72,270,top
WTB23,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,2.56,270,top
WTB24,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,2.40,270,top
WTB15,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,3.82,270,top
WTB8,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,4.92,270,top
WTB7,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,5.08,270,top
WTB6,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,5.24,270,top
WTB5,"wireToBoard.fp","-",,,CONNECTOR_4,,,,,,,,,,,7.90,5.39,270,top
Vheat1,"XT60","60A",$0.80 HobbyKing XT60,$0.80,CONNECTOR_2,HobbyKing,XT60,HobbyKing,XT60,www.hobbyking.com/hobbyking/store/__9572__Nylon_XT60_Connectors_Male_Female_5_pairs_GENUINE.html,N/A,c,,other,not known to be available in machine usable format,4.48,5.32,0,top
